Race Starting: MINE | Material: NETHERRACK | Amount: 16
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 9
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 9
Race Starting: EAT | Material: COOKED_CHICKEN | Amount: 2
Game Starting: REACTION | Has Answer: true | Answer: Torch
Game Ending: REACTION | Has Winner: false | Answer: Torch
Race Starting: FISH | Material: COD | Amount: 1
Race Starting: MINE | Material: NETHERRACK | Amount: 16
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Shovel
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Shovel
Race Starting: EAT | Material: BREAD | Amount: 2
Game Starting: UNREVERSE | Has Answer: true | Answer: Glass
Game Ending: UNREVERSE | Has Winner: false | Answer: Glass
Game Starting: RANDOM | Has Answer: true | Answer: PHJDu6
Game Ending: RANDOM | Has Winner: false | Answer: PHJDu6
Game Starting: REACTION | Has Answer: true | Answer: Glowsquid
Game Ending: REACTION | Has Winner: false | Answer: Glowsquid
Game Starting: VARIABLE | Has Answer: true | Answer: 14
Game Ending: VARIABLE | Has Winner: false | Answer: 14
Game Starting: UNREVERSE | Has Answer: true | Answer: Villager
Game Ending: UNREVERSE | Has Winner: false | Answer: Villager
Game Starting: FILLOUT | Has Answer: true | Answer: Obsidian
Game Ending: FILLOUT | Has Winner: false | Answer: Obsidian
Game Starting: HOVERABLE | Has Answer: true | Answer: Gold
Game Ending: HOVERABLE | Has Winner: false | Answer: Gold
Race Starting: HUNT | Entity: SKELETON | Amount: 3
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 19
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 19
Game Starting: CLICKABLE | Has Answer: true | Answer: 2TZ21PH7oaAE
Game Ending: CLICKABLE | Has Winner: false | Answer: 2TZ21PH7oaAE
Race Starting: HUNT | Entity: SPIDER | Amount: 3
Game Starting: VARIABLE | Has Answer: true | Answer: 58
Game Ending: VARIABLE | Has Winner: false | Answer: 58
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Jingle Bells, Santa Hat, Candy Cane
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Jingle Bells, Santa Hat, Candy Cane
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Wreath, Tinsel, Reindeer
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Wreath, Tinsel, Reindeer
Race Starting: PLACE | Material: TORCH | Amount: 16
Game Starting: MATH | Has Answer: true | Answer: 117
Game Ending: MATH | Has Winner: false | Answer: 117
Game Starting: UNREVERSE | Has Answer: true | Answer: Glowstone
Game Ending: UNREVERSE | Has Winner: false | Answer: Glowstone
Race Starting: HUNT | Entity: ZOMBIE | Amount: 5
Race Starting: HUNT | Entity: SPIDER | Amount: 3
Game Starting: VARIABLE | Has Answer: true | Answer: -12
Game Ending: VARIABLE | Has Winner: false | Answer: -12
Game Starting: MATH | Has Answer: true | Answer: 49
Game Ending: MATH | Has Winner: false | Answer: 49
Game Starting: TRIVIA | Has Answer: true | Answer: •16
Game Ending: TRIVIA | Has Winner: false | Answer: •16
Game Starting: MATH | Has Answer: true | Answer: 141
Game Ending: MATH | Has Winner: false | Answer: 141
Game Starting: RANDOM | Has Answer: true | Answer: MVQ713i
Game Ending: RANDOM | Has Winner: false | Answer: MVQ713i
Game Starting: FILLOUT | Has Answer: true | Answer: Gold
Game Ending: FILLOUT | Has Winner: false | Answer: Gold
Game Starting: HOVERABLE | Has Answer: true | Answer: Sculk
Game Ending: HOVERABLE | Has Winner: false | Answer: Sculk
Game Starting: VARIABLE | Has Answer: true | Answer: 62
Game Ending: VARIABLE | Has Winner: false | Answer: 62
Game Starting: FILLOUT | Has Answer: true | Answer: Stonecutter
Game Ending: FILLOUT | Has Winner: false | Answer: Stonecutter
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Nether Wart
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Nether Wart
Game Starting: HOVERABLE | Has Answer: true | Answer: Axolotl
Game Ending: HOVERABLE | Has Winner: false | Answer: Axolotl
Game Starting: TRIVIA | Has Answer: true | Answer: •Loom
Game Ending: TRIVIA | Has Winner: false | Answer: •Loom
Race Starting: EAT | Material: COOKED_CHICKEN | Amount: 2
Game Starting: UNREVERSE | Has Answer: true | Answer: Blaze Rod
Game Ending: UNREVERSE | Has Winner: false | Answer: Blaze Rod
Game Starting: MATH | Has Answer: true | Answer: 98
Game Ending: MATH | Has Winner: false | Answer: 98
Race Starting: MINE | Material: SAND | Amount: 16
Race Starting: CRAFT | Material: CRAFTING_TABLE | Amount: 8
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 2
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 2
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 1
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 1
Race Starting: CRAFT | Material: TORCH | Amount: 48
Race Starting: CRAFT | Material: FURNACE | Amount: 2
Race Starting: FISH | Material: PUFFERFISH | Amount: 1
Game Starting: REACTION | Has Answer: true | Answer: Music Disc
Game Ending: REACTION | Has Winner: false | Answer: Music Disc
Race Starting: MINE | Material: GRASS_BLOCK | Amount: 32
Game Starting: TRIVIA | Has Answer: true | Answer: •2011•2009
Game Ending: TRIVIA | Has Winner: false | Answer: •2011•2009
Game Starting: VARIABLE | Has Answer: true | Answer: -5
Game Ending: VARIABLE | Has Winner: false | Answer: -5
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Dirt
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Dirt
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 8
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 8
Game Starting: CLICKABLE | Has Answer: true | Answer: WK7TbLvQAyne
Game Ending: CLICKABLE | Has Winner: false | Answer: WK7TbLvQAyne
Game Starting: RANDOM | Has Answer: true | Answer: niiPpI
Game Ending: RANDOM | Has Winner: false | Answer: niiPpI
Game Starting: RANDOM | Has Answer: true | Answer: kHl1HXb
Game Ending: RANDOM | Has Winner: false | Answer: kHl1HXb
Race Starting: PLACE | Material: NETHERRACK | Amount: 16
Game Starting: MATH | Has Answer: true | Answer: 38
Game Ending: MATH | Has Winner: true | Winners: ItzDavidVZLA_(Time: 6.95s) | Answer: 38
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Gunpowder
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Gunpowder
Race Starting: EAT | Material: BREAD | Amount: 1
Game Starting: REACTION | Has Answer: true | Answer: Beacon
Game Ending: REACTION | Has Winner: false | Answer: Beacon
Game Starting: REACTION | Has Answer: true | Answer: Feather
Game Ending: REACTION | Has Winner: false | Answer: Feather
Game Starting: MATH | Has Answer: true | Answer: 39
Game Ending: MATH | Has Winner: false | Answer: 39
Game Starting: RANDOM | Has Answer: true | Answer: stQ6PT2h
Game Ending: RANDOM | Has Winner: false | Answer: stQ6PT2h
Game Starting: VARIABLE | Has Answer: true | Answer: 25
Game Ending: VARIABLE | Has Winner: false | Answer: 25
Game Starting: FILLOUT | Has Answer: true | Answer: Observer
Game Ending: FILLOUT | Has Winner: false | Answer: Observer
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 15
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 15
Race Starting: FURNACE | Material: COOKED_BEEF | Amount: 3
Game Starting: HOVERABLE | Has Answer: true | Answer: Lodestone
Game Ending: HOVERABLE | Has Winner: false | Answer: Lodestone
Game Starting: VARIABLE | Has Answer: true | Answer: 13
Game Ending: VARIABLE | Has Winner: false | Answer: 13
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Beacon
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Beacon
Race Starting: HUNT | Entity: SHEEP | Amount: 3
Game Starting: MATH | Has Answer: true | Answer: 105
Game Ending: MATH | Has Winner: false | Answer: 105
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 7
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 7
Race Starting: MINE | Material: STONE | Amount: 32
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 1
Game Ending: GUESS_THE_NUMBER | Has Winner: true | Winners: ItzDavidVZLA_(Time: 18.93s) | Answer: 1
Game Starting: FILLOUT | Has Answer: true | Answer: Shears
Game Ending: FILLOUT | Has Winner: false | Answer: Shears
Race Starting: CRAFT | Material: CHEST | Amount: 8
Race Starting: PLACE | Material: SAND | Amount: 16
Race Starting: EAT | Material: COOKED_CHICKEN | Amount: 2
Race Starting: CRAFT | Material: CHEST | Amount: 8
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 9
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 9
Race Starting: FURNACE | Material: COOKED_BEEF | Amount: 6
Game Starting: RANDOM | Has Answer: true | Answer: 2HJ0Fcq
Game Ending: RANDOM | Has Winner: false | Answer: 2HJ0Fcq
Game Starting: MATH | Has Answer: true | Answer: 1312
Game Ending: MATH | Has Winner: false | Answer: 1312
Race Starting: FURNACE | Material: IRON_INGOT | Amount: 9
Race Starting: EAT | Material: COOKED_CHICKEN | Amount: 1
Race Starting: FURNACE | Material: GOLD_INGOT | Amount: 3
Game Starting: CLICKABLE | Has Answer: true | Answer: 4HzONUoVeIBH
Game Ending: CLICKABLE | Has Winner: false | Answer: 4HzONUoVeIBH
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 12
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 12
Race Starting: EAT | Material: GOLDEN_APPLE | Amount: 1
Race Starting: MINE | Material: NETHERRACK | Amount: 16
Game Starting: HOVERABLE | Has Answer: true | Answer: Crying Obsidian
Game Ending: HOVERABLE | Has Winner: false | Answer: Crying Obsidian
Game Starting: MATH | Has Answer: true | Answer: 95
Game Ending: MATH | Has Winner: false | Answer: 95
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 20
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 20
Game Starting: UNREVERSE | Has Answer: true | Answer: Campfire
Game Ending: UNREVERSE | Has Winner: false | Answer: Campfire
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Trident
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Trident
Game Starting: TRIVIA | Has Answer: true | Answer: •Overworld
Game Ending: TRIVIA | Has Winner: false | Answer: •Overworld
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Beehive
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Beehive
Race Starting: CRAFT | Material: TORCH | Amount: 64
Game Starting: RANDOM | Has Answer: true | Answer: QbZEyzPF
Game Ending: RANDOM | Has Winner: false | Answer: QbZEyzPF
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Potion
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Potion
Race Starting: PLACE | Material: COBBLESTONE | Amount: 16
Race Starting: PLACE | Material: NETHERRACK | Amount: 16
Game Starting: TRIVIA | Has Answer: true | Answer: •1.17
Game Ending: TRIVIA | Has Winner: false | Answer: •1.17
Race Starting: PLACE | Material: COBBLESTONE | Amount: 16
Game Starting: UNREVERSE | Has Answer: true | Answer: Lapis
Game Ending: UNREVERSE | Has Winner: false | Answer: Lapis
Race Starting: FISH | Material: PUFFERFISH | Amount: 1
Race Starting: HUNT | Entity: ZOMBIE | Amount: 5
Race Starting: MINE | Material: GRAVEL | Amount: 16
Game Starting: MATH | Has Answer: true | Answer: 76
Game Ending: MATH | Has Winner: false | Answer: 76
Race Starting: CRAFT | Material: FURNACE | Amount: 8
Game Starting: REACTION | Has Answer: true | Answer: Glowstone
Game Ending: REACTION | Has Winner: false | Answer: Glowstone
Game Starting: UNREVERSE | Has Answer: true | Answer: Ingot
Game Ending: UNREVERSE | Has Winner: false | Answer: Ingot
Race Starting: CRAFT | Material: FURNACE | Amount: 8
Race Starting: CRAFT | Material: CRAFTING_TABLE | Amount: 8
Race Starting: MINE | Material: GRASS_BLOCK | Amount: 32
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 5
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 5
Game Starting: REACTION | Has Answer: true | Answer: Shulker
Game Ending: REACTION | Has Winner: false | Answer: Shulker
Race Starting: FISH | Material: SALMON | Amount: 3
Race Starting: MINE | Material: SAND | Amount: 32
Game Starting: MATH | Has Answer: true | Answer: 113
Game Ending: MATH | Has Winner: false | Answer: 113
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Candy Cane, Wreath, Christmas Cookies
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Candy Cane, Wreath, Christmas Cookies
Game Starting: HOVERABLE | Has Answer: true | Answer: Elytra
Game Ending: HOVERABLE | Has Winner: false | Answer: Elytra
Race Starting: FISH | Material: PUFFERFISH | Amount: 1
Race Starting: EAT | Material: COOKED_BEEF | Amount: 2
Game Starting: MATH | Has Answer: true | Answer: 58
Game Ending: MATH | Has Winner: false | Answer: 58
Race Starting: CRAFT | Material: CHEST | Amount: 4
Race Starting: MINE | Material: GRASS_BLOCK | Amount: 16
Race Starting: EAT | Material: BAKED_POTATO | Amount: 2
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 1
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 1
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Cow
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Cow
Race Starting: MINE | Material: DIORITE | Amount: 16
Race Starting: FISH | Material: SALMON | Amount: 3
Game Starting: UNREVERSE | Has Answer: true | Answer: Glass
Game Ending: UNREVERSE | Has Winner: false | Answer: Glass
Race Starting: MINE | Material: DIORITE | Amount: 16
Race Starting: EAT | Material: GOLDEN_APPLE | Amount: 1
Game Starting: UNREVERSE | Has Answer: true | Answer: Mangrove
Game Ending: UNREVERSE | Has Winner: false | Answer: Mangrove
Race Starting: MINE | Material: SAND | Amount: 16
Game Starting: MATH | Has Answer: true | Answer: 660
Game Ending: MATH | Has Winner: false | Answer: 660
Game Starting: CLICKABLE | Has Answer: true | Answer: 4eGkosTQaeYq
Game Ending: CLICKABLE | Has Winner: false | Answer: 4eGkosTQaeYq
Game Starting: MATH | Has Answer: true | Answer: 2200
Game Ending: MATH | Has Winner: false | Answer: 2200
Race Starting: FURNACE | Material: COOKED_COD | Amount: 6
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 18
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 18
Game Starting: RANDOM | Has Answer: true | Answer: WeYOCNQ
Game Ending: RANDOM | Has Winner: false | Answer: WeYOCNQ
Game Starting: RANDOM | Has Answer: true | Answer: q2ROfZ
Game Ending: RANDOM | Has Winner: false | Answer: q2ROfZ
Game Starting: REACTION | Has Answer: true | Answer: Loom
Game Ending: REACTION | Has Winner: false | Answer: Loom
Game Starting: FILLOUT | Has Answer: true | Answer: Tadpole
Game Ending: FILLOUT | Has Winner: false | Answer: Tadpole
Game Starting: MATH | Has Answer: true | Answer: 92
Game Ending: MATH | Has Winner: false | Answer: 92
Race Starting: FISH | Material: SALMON | Amount: 3
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Feather
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Feather
Race Starting: FURNACE | Material: COOKED_BEEF | Amount: 6
Race Starting: CRAFT | Material: TORCH | Amount: 48
Race Starting: FISH | Material: SALMON | Amount: 1
Game Starting: CLICKABLE | Has Answer: true | Answer: rJKT86EM5XHu
Game Ending: CLICKABLE | Has Winner: false | Answer: rJKT86EM5XHu
Race Starting: FURNACE | Material: GOLD_INGOT | Amount: 9
Race Starting: FISH | Material: SALMON | Amount: 1
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 16
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 16
Race Starting: FURNACE | Material: IRON_INGOT | Amount: 6
Game Starting: CLICKABLE | Has Answer: true | Answer: ibUbaLH3EZlV
Game Ending: CLICKABLE | Has Winner: false | Answer: ibUbaLH3EZlV
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Candy Cane, Gingerbread Man, Mistletoe
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Candy Cane, Gingerbread Man, Mistletoe
Game Starting: TRIVIA | Has Answer: true | Answer: •Glass
Game Ending: TRIVIA | Has Winner: false | Answer: •Glass
Race Starting: FISH | Material: BOWL | Amount: 1
Race Starting: FURNACE | Material: COOKED_COD | Amount: 3
Game Starting: VARIABLE | Has Answer: true | Answer: 21
Game Ending: VARIABLE | Has Winner: false | Answer: 21
Game Starting: RANDOM | Has Answer: true | Answer: mgS9ys
Game Ending: RANDOM | Has Winner: false | Answer: mgS9ys
Race Starting: EAT | Material: COOKED_BEEF | Amount: 2
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Ancient Debris
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Ancient Debris
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 18
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 18
Game Starting: CLICKABLE | Has Answer: true | Answer: 0N2oC35m08o1
Game Ending: CLICKABLE | Has Winner: false | Answer: 0N2oC35m08o1
Game Starting: CLICKABLE | Has Answer: true | Answer: AG7U85gs9XAX
Game Ending: CLICKABLE | Has Winner: false | Answer: AG7U85gs9XAX
Game Starting: RANDOM | Has Answer: true | Answer: 9uAdFy
Game Ending: RANDOM | Has Winner: false | Answer: 9uAdFy
Race Starting: FURNACE | Material: IRON_INGOT | Amount: 9
Race Starting: EAT | Material: COOKED_BEEF | Amount: 1
Game Starting: TRIVIA | Has Answer: true | Answer: •Axolotl
Game Ending: TRIVIA | Has Winner: false | Answer: •Axolotl
Race Starting: FISH | Material: BOWL | Amount: 1
Game Starting: MATH | Has Answer: true | Answer: 48
Game Ending: MATH | Has Winner: false | Answer: 48
Game Starting: TRIVIA | Has Answer: true | Answer: •Spectator
Game Ending: TRIVIA | Has Winner: false | Answer: •Spectator
Race Starting: EAT | Material: COOKED_CHICKEN | Amount: 2
Race Starting: FURNACE | Material: COOKED_BEEF | Amount: 3
Game Starting: REACTION | Has Answer: true | Answer: Crying Obsidian
Game Ending: REACTION | Has Winner: false | Answer: Crying Obsidian
Race Starting: MINE | Material: STONE | Amount: 32
Game Starting: VARIABLE | Has Answer: true | Answer: 1
Game Ending: VARIABLE | Has Winner: false | Answer: 1
Game Starting: HOVERABLE | Has Answer: true | Answer: Glass
Game Ending: HOVERABLE | Has Winner: false | Answer: Glass
Game Starting: HOVERABLE | Has Answer: true | Answer: Creeper
Game Ending: HOVERABLE | Has Winner: false | Answer: Creeper
Race Starting: FISH | Material: PUFFERFISH | Amount: 1
Race Starting: EAT | Material: BREAD | Amount: 2
Race Starting: FISH | Material: PUFFERFISH | Amount: 3
Game Starting: HOVERABLE | Has Answer: true | Answer: Spyglass
Game Ending: HOVERABLE | Has Winner: false | Answer: Spyglass
Race Starting: CRAFT | Material: CRAFTING_TABLE | Amount: 8
Race Starting: FISH | Material: PUFFERFISH | Amount: 1
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Composter
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Composter
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Terracotta
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Terracotta
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Moss
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Moss
Game Starting: TRIVIA | Has Answer: true | Answer: •Pigstep
Game Ending: TRIVIA | Has Winner: false | Answer: •Pigstep
Race Starting: CRAFT | Material: FURNACE | Amount: 4
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Hopper
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Hopper
Race Starting: FURNACE | Material: GOLD_INGOT | Amount: 9
Race Starting: EAT | Material: BAKED_POTATO | Amount: 1
Race Starting: PLACE | Material: COBBLESTONE | Amount: 16
Race Starting: EAT | Material: GOLDEN_APPLE | Amount: 1
Race Starting: MINE | Material: SAND | Amount: 16
Race Starting: HUNT | Entity: CREEPER | Amount: 3
Game Starting: REACTION | Has Answer: true | Answer: Composter
Game Ending: REACTION | Has Winner: false | Answer: Composter
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 19
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 19
Game Starting: UNREVERSE | Has Answer: true | Answer: Shroomlight
Game Ending: UNREVERSE | Has Winner: false | Answer: Shroomlight
Race Starting: PLACE | Material: NETHERRACK | Amount: 32
Race Starting: FURNACE | Material: GOLD_INGOT | Amount: 6
Race Starting: PLACE | Material: SAND | Amount: 16
Race Starting: MINE | Material: NETHERRACK | Amount: 32
Game Starting: UNREVERSE | Has Answer: true | Answer: Cow
Game Ending: UNREVERSE | Has Winner: false | Answer: Cow
Game Starting: FILLOUT | Has Answer: true | Answer: Sapling
Game Ending: FILLOUT | Has Winner: false | Answer: Sapling
Game Starting: VARIABLE | Has Answer: true | Answer: 14
Game Ending: VARIABLE | Has Winner: false | Answer: 14
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Creeper
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Creeper
Race Starting: PLACE | Material: DIRT | Amount: 16
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Hopper
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Hopper
Game Starting: TRIVIA | Has Answer: true | Answer: •Fish
Game Ending: TRIVIA | Has Winner: false | Answer: •Fish
Game Starting: VARIABLE | Has Answer: true | Answer: -9
Game Ending: VARIABLE | Has Winner: false | Answer: -9
Game Starting: VARIABLE | Has Answer: true | Answer: 41
Game Ending: VARIABLE | Has Winner: false | Answer: 41
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Ancient Debris
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Ancient Debris
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Saddle
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Saddle
Game Starting: HOVERABLE | Has Answer: true | Answer: End Portal
Game Ending: HOVERABLE | Has Winner: false | Answer: End Portal
Game Starting: CLICKABLE | Has Answer: true | Answer: nqI8rrScptyb
Game Ending: CLICKABLE | Has Winner: false | Answer: nqI8rrScptyb
Race Starting: HUNT | Entity: CHICKEN | Amount: 3
Game Starting: RANDOM | Has Answer: true | Answer: MiWLad
Game Ending: RANDOM | Has Winner: false | Answer: MiWLad
Game Starting: UNREVERSE | Has Answer: true | Answer: Crossbow
Game Ending: UNREVERSE | Has Winner: false | Answer: Crossbow
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Snow Globe, Jingle Bells, Poinsettia
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Snow Globe, Jingle Bells, Poinsettia
Game Starting: HOVERABLE | Has Answer: true | Answer: Copper
Game Ending: HOVERABLE | Has Winner: false | Answer: Copper
Game Starting: FILLOUT | Has Answer: true | Answer: Chorus
Game Ending: FILLOUT | Has Winner: false | Answer: Chorus
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Stocking, Mistletoe, Poinsettia
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Stocking, Mistletoe, Poinsettia
Game Starting: HOVERABLE | Has Answer: true | Answer: Crying Obsidian
Game Ending: HOVERABLE | Has Winner: false | Answer: Crying Obsidian
Game Starting: FILLOUT | Has Answer: true | Answer: Shovel
Game Ending: FILLOUT | Has Winner: false | Answer: Shovel
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Jingle Bells, Reindeer, Poinsettia
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Jingle Bells, Reindeer, Poinsettia
Race Starting: EAT | Material: COOKED_BEEF | Amount: 1
Game Starting: MATH | Has Answer: true | Answer: 2405
Game Ending: MATH | Has Winner: false | Answer: 2405
Game Starting: HOVERABLE | Has Answer: true | Answer: Axolotl
Game Ending: HOVERABLE | Has Winner: false | Answer: Axolotl
Game Starting: HOVERABLE | Has Answer: true | Answer: Spyglass
Game Ending: HOVERABLE | Has Winner: false | Answer: Spyglass
Game Starting: RANDOM | Has Answer: true | Answer: aSKUfU
Game Ending: RANDOM | Has Winner: false | Answer: aSKUfU
Race Starting: PLACE | Material: TORCH | Amount: 16
Game Starting: MATH | Has Answer: true | Answer: 89
Game Ending: MATH | Has Winner: false | Answer: 89
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 14
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 14
Race Starting: PLACE | Material: COBBLESTONE | Amount: 16
Race Starting: HUNT | Entity: SKELETON | Amount: 3
Game Starting: VARIABLE | Has Answer: true | Answer: 59
Game Ending: VARIABLE | Has Winner: false | Answer: 59
Game Starting: FILLOUT | Has Answer: true | Answer: End Portal
Game Ending: FILLOUT | Has Winner: false | Answer: End Portal
Game Starting: UNREVERSE | Has Answer: true | Answer: Pufferfish
Game Ending: UNREVERSE | Has Winner: false | Answer: Pufferfish
Game Starting: MATH | Has Answer: true | Answer: 119
Game Ending: MATH | Has Winner: false | Answer: 119
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 11
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 11
Race Starting: FISH | Material: PUFFERFISH | Amount: 3
Game Starting: FILLOUT | Has Answer: true | Answer: Sheep
Game Ending: FILLOUT | Has Winner: false | Answer: Sheep
Game Starting: UNREVERSE | Has Answer: true | Answer: Pufferfish
Game Ending: UNREVERSE | Has Winner: false | Answer: Pufferfish
Game Starting: TRIVIA | Has Answer: true | Answer: •Bedrock
Game Ending: TRIVIA | Has Winner: false | Answer: •Bedrock
Game Starting: MATH | Has Answer: true | Answer: -79
Game Ending: MATH | Has Winner: false | Answer: -79
Race Starting: EAT | Material: GOLDEN_APPLE | Amount: 1
Race Starting: FURNACE | Material: COOKED_COD | Amount: 3
Game Starting: FILLOUT | Has Answer: true | Answer: Loom
Game Ending: FILLOUT | Has Winner: false | Answer: Loom
Game Starting: VARIABLE | Has Answer: true | Answer: 22
Game Ending: VARIABLE | Has Winner: false | Answer: 22
Game Starting: RANDOM | Has Answer: true | Answer: VXVV0Zo6
Game Ending: RANDOM | Has Winner: false | Answer: VXVV0Zo6
Race Starting: FURNACE | Material: COOKED_COD | Amount: 9
Game Starting: TRIVIA | Has Answer: true | Answer: •Bedrock
Game Ending: TRIVIA | Has Winner: false | Answer: •Bedrock
Game Starting: VARIABLE | Has Answer: true | Answer: 61
Game Ending: VARIABLE | Has Winner: false | Answer: 61
Race Starting: PLACE | Material: SAND | Amount: 16
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 17
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 17
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Sleigh, Snowman, Wreath
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Sleigh, Snowman, Wreath
Game Starting: TRIVIA | Has Answer: true | Answer: •Fish
Game Ending: TRIVIA | Has Winner: false | Answer: •Fish
Game Starting: REACTION | Has Answer: true | Answer: Dispenser
Game Ending: REACTION | Has Winner: false | Answer: Dispenser
Game Starting: VARIABLE | Has Answer: true | Answer: 56
Game Ending: VARIABLE | Has Winner: false | Answer: 56
Race Starting: MINE | Material: DIRT | Amount: 16
Race Starting: EAT | Material: COOKED_CHICKEN | Amount: 2
Race Starting: EAT | Material: COOKED_CHICKEN | Amount: 2
Game Starting: HOVERABLE | Has Answer: true | Answer: Ender Pearl
Game Ending: HOVERABLE | Has Winner: false | Answer: Ender Pearl
Race Starting: EAT | Material: GOLDEN_APPLE | Amount: 1
Game Starting: REACTION | Has Answer: true | Answer: Note Block
